Symbol,Company Name,Has Alerts,Alert Count,Price,Sector,Industry,Market Cap,Market Cap Category,Tradier Avg Vol,Actual Avg Stock Vol (30d),Avg Daily Opt Vol (30d),Peak Daily Opt Vol (30d),Avg Total OI (30d),Liquidity Tier,Beta,Keep
AMT,American Tower Corp,Yes,0,188.59,Real Estate,REIT - Specialty,87456155624,Large,1614300,3240343,1636,5994,17369,high,-0.1876,
AMTM,Amentum Holdings Inc,No,0,30.01,Industrials,Specialty Business Services,7457098330,Mid,2132611,2381905,774,2340,13543,high,1.1984,
AMZN,Amazon.com Inc,Yes,46,213.21,Consumer Cyclical,Internet Retail,2350303575277,Mega,47789032,58613614,807777,2154771,1401680,ultra_liquid,1.168,
ANET,Arista Networks Inc,Yes,8,132.89,Technology,Computer Hardware,175161384096,Large,769921,8825924,19009,80617,114751,moderate,2.4538,
AOS,A.O. Smith Corp,No,0,71.01,Industrials,Specialty Industrial Machinery,9959639822,Mid,1761608,1484039,596,2829,13203,high,0.4652,
APA,APA Corp,No,0,32.68,Energy,Oil & Gas E&P,11484190347,Large,6321940,7705178,7361,24407,60286,high,0.2182,Keep
APH,Amphenol Corp,Yes,2,131.87,Technology,Electronic Components,167468242063,Large,1169026,11776709,6793,35916,57643,high,2.2887,
APLS,Apellis Pharmaceuticals Inc,No,0,20.07,Healthcare,Biotechnology,2577050965,Mid,1482566,2847614,177,1697,4620,high,0.2696,
APO,Apollo Global Management Inc,Yes,1,108.7,Financial Services,Asset Management,64324233879,Large,2133218,6021496,7299,23675,58968,high,1.915,
APP,AppLovin Corp,Yes,14,502.14,Communication Services,Advertising Agencies,171526099680,Large,5708529,7384968,47164,110288,85301,high,4.0648,
APTV,Aptiv PLC,No,0,72.7,Consumer Cyclical,Auto Parts,15362562036,Large,1355873,2161426,557,2809,7458,high,1.4652,
AR,Antero Resources Corp,Yes,5,38.83,Energy,Oil & Gas E&P,12004707750,Large,10703935,6066184,13283,83128,213623,ultra_liquid,0.0152,
ARE,Alexandria Real Estate Equities Inc,No,0,50.73,Real Estate,REIT - Office,8975225696,Mid,857232,2665664,574,3321,11244,moderate,0.7119,
ARM,Arm Holdings plc - American Depositary Shares,Yes,12,114.38,Technology,Semiconductors,128098267392,Large,5937223,6124178,30837,139832,186771,high,1.9486,
ARMK,Aramark,No,0,40.25,Industrials,Specialty Business Services,10786789398,Large,2815124,3579294,192,2530,4268,high,0.9518,
AS,Amer Sports Inc,Yes,8,33.98,Consumer Cyclical,Leisure,19604100616,Large,0,5591419,4235,24661,38913,N/A,1.5262,
AVGO,Broadcom Inc,Yes,33,330.48,Technology,Semiconductors,1577753682093,Mega,2493527,26526978,271628,692256,662059,high,2.38,
AVTR,Avantor Inc,Yes,1,8.17,Healthcare,Medical Instruments & Supplies,5811116540,Mid,3368547,13416988,4816,47757,62571,high,1.7828,
AXP,American Express Co,Yes,9,301,Financial Services,Credit Services,210934688476,Mega,3258480,4021621,15024,40860,83578,high,1.45,
AXTA,Axalta Coating Systems Ltd,No,0,29.61,Basic Materials,Specialty Chemicals,6456695484,Mid,2255727,3147658,29,203,1630,high,0.5444,
AZN,AstraZeneca PLC Ordinary Shares,Yes,1,194.22,Healthcare,Drug Manufacturers - General,306280347443,Mega,5501585,2856102,2235,35476,8730,high,0.1824,
BA,Boeing Co,Yes,18,231.11,Industrials,Aerospace & Defense,174394176137,Large,6737527,6884597,55200,129602,294249,high,0.4407,
BAC,Bank of America Corp,Yes,20,48.64,Financial Services,Banks - Diversified,357470538887,Mega,46611481,41667035,121683,245702,694545,ultra_liquid,1.0828,
BAH,Booz Allen Hamilton Holding Corp,Yes,1,81.89,Industrials,Consulting Services,9623432242,Mid,1125592,2898091,962,6163,13176,high,1.0713,
BALL,Ball Corp,No,0,62.53,Consumer Cyclical,Packaging & Containers,16821399003,Large,0,2309745,687,5625,7234,N/A,-0.2477,
BAX,Baxter International Inc,Yes,1,17.69,Healthcare,Medical Instruments & Supplies,9569514837,Mid,2400757,10414364,3858,23969,57218,high,1.4382,
BBWI,Bath & Body Works Inc,Yes,5,20.8,Consumer Cyclical,Specialty Retail,4563244575,Mid,5529351,5226477,3305,33032,26629,high,1.3676,
BBY,Best Buy Co Inc,Yes,0,66.68,Consumer Cyclical,Specialty Retail,13745502756,Large,4780884,5003245,8159,26857,44489,high,0.8431,
BC,Brunswick Corp,No,0,70.62,Consumer Cyclical,Auto - Recreational Vehicles,4791190550,Mid,674184,1055569,48,165,1805,moderate,1.26,
BEN,Franklin Resources Inc,No,0,26.24,Financial Services,Asset Management,14018952020,Large,5058285,6265331,725,6754,12426,high,1.2052,
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,No,0,40.1,Utilities,Renewable Utilities,7256963390,Mid,966430,1077049,181,1571,5831,moderate,1.0733,
BG,Bunge Global SA,Yes,0,116.67,Consumer Defensive,Farm Products,21905227856,Large,942853,1588842,1083,19729,6156,moderate,0.3585,
BIIB,Biogen Inc,Yes,1,184.87,Healthcare,Drug Manufacturers - General,27602343946,Large,1771884,1298352,1052,5184,18469,high,0.7403,
BILL,BILL Holdings Inc,Yes,9,45.06,Technology,Software - Application,4466084657,Mid,2952269,3413621,6455,30748,43956,high,4.1269,
BJ,BJ's Wholesale Club Holdings Inc,Yes,0,96.8,Consumer Defensive,Discount Stores,12884574496,Large,1471346,1984223,806,2513,7055,high,-0.3688,
BKR,Baker Hughes Co,Yes,0,59.81,Energy,Oil & Gas Equipment & Services,59481955536,Large,7570050,9847355,2147,13465,24070,high,0.8659,
BLDR,Builders FirstSource Inc,No,0,93.12,Industrials,Building Products & Equipment,10563890140,Large,1197213,2404849,1139,4072,12155,high,1.3302,
BMRN,BioMarin Pharmaceutical Inc,No,0,61.12,Healthcare,Biotechnology,11639409686,Large,2496043,2260424,1041,6381,11458,high,0.6565,
BMY,Bristol-Myers Squibb Co,Yes,4,60.29,Healthcare,Drug Manufacturers - General,123695412841,Large,14087919,13403458,15987,63177,210240,ultra_liquid,0.4015,
BRBR,BellRing Brands Inc,Yes,0,17.39,Consumer Defensive,Packaged Foods,1991236500,Small,3930707,4085887,522,3817,7756,high,0.5221,
BRKR,Bruker Corp,No,0,36.68,Healthcare,Medical Devices,5860441125,Mid,2334713,2377397,275,2594,5883,high,1.8121,
BRO,Brown & Brown Inc,No,0,73.5,Financial Services,Insurance - Brokers,24891512081,Large,3193048,3786023,193,1680,3729,high,-0.2606,
BROS,Dutch Bros Inc,Yes,0,51.31,Consumer Cyclical,Restaurants,6925723733,Mid,4681948,6640653,7299,32158,38325,high,1.3899,
BSX,Boston Scientific Corp,Yes,8,71.35,Healthcare,Medical Devices,108308799433,Large,14380681,18249699,16464,46086,173367,ultra_liquid,-0.4128,
BSY,Bentley Systems Inc,No,0,39.79,Technology,Software - Application,11993539755,Large,2989794,3892349,52,360,400,high,0.7878,
BWA,BorgWarner Inc,Yes,3,51.8,Consumer Cyclical,Auto Parts,10917681536,Large,3461350,3682792,532,2629,6741,high,0.9231,
BX,Blackstone Inc,Yes,1,110.4,Financial Services,Asset Management,90496796805,Large,3946684,8788457,13078,40457,78256,high,1.8841,
BXP,BXP Inc,No,0,52.94,Real Estate,REIT - Office,8799157508,Mid,2343429,3308317,414,4622,8185,high,1.164,
BYD,Boyd Gaming Corp,Yes,0,80.13,Consumer Cyclical,"Gambling, Resorts & Casinos",6192625494,Mid,891981,994285,178,1041,3637,moderate,0.7884,
C,Citigroup Inc,Yes,7,106.53,Financial Services,Banks - Diversified,190588306030,Large,19151906,14590865,48470,89801,331982,ultra_liquid,2.1318,
CAG,Conagra Brands Inc,Yes,0,19.02,Consumer Defensive,Packaged Foods,8902455929,Mid,4839866,12909805,5259,15094,68334,high,-0.5702,
CAR,Avis Budget Group Inc,Yes,0,97.51,Industrials,Rental & Leasing Services,3423262522,Mid,675754,802841,1021,3190,37533,moderate,1.7045,
CARR,Carrier Global Corp,Yes,2,58.35,Industrials,Building Products & Equipment,50484970472,Large,7620928,7801374,3493,15478,49310,high,0.9249,
CART,Maplebear Inc,Yes,2,38.09,Consumer Cyclical,Internet Retail,8852228167,Mid,5139622,5622840,4569,41619,26599,high,0.4245,
CAT,Caterpillar Inc,Yes,1,680.9,Industrials,Farm & Heavy Construction Machinery,328530079378,Mega,2812215,3270072,20995,38590,70582,high,2.2294,
CAVA,Cava Group Inc,Yes,2,78.59,Consumer Cyclical,Restaurants,9236903208,Mid,3770971,3933530,11379,42745,54314,high,2.6205,
CC,The Chemours Co,No,0,16.41,Basic Materials,Specialty Chemicals,2513928909,Mid,3007488,3739875,2818,13110,23357,high,1.7282,
CCC,CCC Intelligent Solutions Holdings Inc,No,0,6.26,Technology,Software - Application,3739896529,Mid,11660678,15480348,55,420,503,ultra_liquid,,
CCI,Crown Castle Inc,No,0,90.43,Real Estate,REIT - Specialty,39294306987,Large,1784490,3915651,717,2602,11132,high,0.6985,
CCJ,Cameco Corporation Common Stock,Yes,11,109.68,Energy,Uranium,49849575609,Large,4113888,4465225,13009,36869,85268,high,2.3066,
CCL,Carnival Corp,Yes,9,25.79,Consumer Cyclical,Travel Services,37620390910,Large,20839997,22804354,38896,86678,312307,ultra_liquid,2.2834,
CDNS,Cadence Design Systems Inc,Yes,0,296.94,Technology,Software - Application,82718501824,Large,1813167,3042377,3078,16761,20855,high,2.275,
CDW,CDW Corp,Yes,1,123.42,Technology,Information Technology Services,16035192924,Large,1863723,1904674,931,7994,8790,high,0.922,
CE,Celanese Corp,Yes,0,49.32,Basic Materials,Chemicals,5758007128,Mid,838119,2632313,1333,7486,10325,moderate,1.178,
CEG,Constellation Energy Corp,Yes,3,319.06,Utilities,Utilities - Independent Power Producers,120206130543,Large,3559555,4063368,9916,27695,57069,high,2.0298,
CELH,Celsius Holdings Inc,Yes,5,42.92,Consumer Defensive,Beverages - Non-Alcoholic,11227281134,Large,1260068,5430623,17304,54598,83323,high,0.8499,
CF,CF Industries Holdings Inc,Yes,3,115.78,Basic Materials,Agricultural Inputs,17023431990,Large,2415429,2961693,4280,24963,28013,high,-0.1104,
CFG,Citizens Financial Group Inc,Yes,2,58.04,Financial Services,Banks - Regional,25303526937,Large,5345645,5422774,1586,16367,14912,high,1.4566,
CFLT,Confluent Inc,Yes,3,30.77,Technology,Software - Infrastructure,11011874185,Large,16290262,15328012,518,2900,34923,ultra_liquid,-0.2318,
CG,The Carlyle Group Inc,No,0,48.9,Financial Services,Asset Management,18466858000,Large,2055463,3721114,1017,3982,15915,high,2.3836,
CGNX,Cognex Corp,No,0,49.45,Technology,"Hardware, Equipment & Parts",8490873820,Mid,811066,2607105,863,5707,7837,moderate,-0.155,
CHD,Church & Dwight Co Inc,No,0,100.7,Consumer Defensive,Household & Personal Products,23636286906,Large,2439738,2259887,472,5853,2853,high,-0.3148,
CHTR,Charter Communications Inc,Yes,5,232.24,Communication Services,Telecom Services,29117658606,Large,1179184,2135992,4150,37231,32348,high,0.7339,
CIEN,Ciena Corp,Yes,3,294.17,Technology,Communication Equipment,42340012380,Large,1348274,3961109,6971,33213,21876,high,2.9129,
CL,Colgate-Palmolive Co,No,0,93.56,Consumer Defensive,Household & Personal Products,74279455754,Large,3998006,6924826,3725,18909,30899,high,-0.2968,
CLF,Cleveland-Cliffs Inc,Yes,3,9.83,Basic Materials,Steel,6091770529,Mid,11152116,19045792,27066,77564,145113,ultra_liquid,1.7917,
CMCSA,Comcast Corp,Yes,3,31.91,Communication Services,Telecom Services,113691933410,Large,21121234,31754683,18684,57966,159402,ultra_liquid,-0.0632,
CMG,Chipotle Mexican Grill Inc,Yes,7,35.37,Consumer Cyclical,Restaurants,48267796380,Large,395202,17671696,36758,125695,392048,moderate,0.8788,
CNC,Centene Corp,Yes,5,43.65,Healthcare,Healthcare Plans,21278931170,Large,6129074,6129857,5281,18083,62250,high,0.3227,
CNH,CNH Industrial NV,No,0,11.15,Industrials,Farm & Heavy Construction Machinery,14146790943,Large,12960125,13820799,543,2497,6344,ultra_liquid,0.8313,
CNM,Core & Main Inc,Yes,1,49.82,Industrials,Industrial - Distribution,9887595985,Mid,2224449,2123937,242,2013,2085,high,1.3673,
CNP,CenterPoint Energy Inc,No,0,43.61,Utilities,Utilities - Regulated Electric,28334626745,Large,5469923,6423805,507,2911,9776,high,-0.1945,
CNXC,Concentrix Corp,Yes,2,35.16,Technology,Information Technology Services,2116546726,Mid,207546,1387619,588,12490,7486,moderate,2.7376,
COF,Capital One Financial Corp,Yes,1,187.71,Financial Services,Credit Services,120822650572,Large,5101066,5796842,11160,29414,99022,high,1.9859,
COHR,Coherent Corp,Yes,7,235.72,Technology,"Hardware, Equipment & Parts",47596017767,Large,282658,6792554,11317,24264,37066,moderate,3.312,
COIN,Coinbase Global Inc,Yes,68,197.22,Financial Services,Financial - Data & Stock Exchanges,54322903014,Large,11157336,14655071,160093,489007,259681,ultra_liquid,4.0824,
COLD,Americold Realty Trust Inc,No,0,12.51,Real Estate,REIT - Industrial,3617971910,Mid,1935153,5194441,270,1409,8984,high,0.4425,
COO,The Cooper Companies Inc,No,0,76.55,Healthcare,Medical Instruments & Supplies,15646207858,Large,283142,1875076,461,3180,3899,moderate,0.8998,
COP,ConocoPhillips,Yes,3,117.07,Energy,Oil & Gas E&P,142793659736,Large,6380219,9027275,29906,417070,145500,high,0.1865,
COR,Cencora Inc,Yes,0,358.46,Healthcare,Medical Distribution,69890983428,Large,0,1275835,443,2694,5992,N/A,0.4225,
COTY,Coty Inc,Yes,0,2.37,Consumer Defensive,Household & Personal Products,2112015261,Mid,12141007,9407608,1335,23275,10329,ultra_liquid,-0.1919,
CPB,The Campbell's Co,No,0,25.8,Consumer Defensive,Packaged Foods,7468262837,Mid,7283570,7225189,3895,7447,33933,high,-0.5459,
CPNG,Coupang Inc,Yes,1,19.07,Consumer Cyclical,Internet Retail,35412070439,Large,24012997,29465496,16429,74380,126344,ultra_liquid,1.9003,
CPRI,Capri Holdings Ltd,Yes,0,17.95,Consumer Cyclical,Luxury Goods,2227135256,Mid,2536410,3730057,2001,10484,21566,high,1.9659,
CPRT,Copart Inc,No,0,37.74,Industrials,Specialty Business Services,36624984911,Large,1773737,10072337,1181,5644,18317,high,0.6691,
CRH,CRH PLC,Yes,6,106.41,Basic Materials,Construction Materials,74431289793,Large,3198750,4919767,2510,10747,47975,high,1.5054,
CRI,Carter's Inc,No,0,33.91,Consumer Cyclical,Apparel - Retail,1284422868,Small,1249196,1332221,233,1476,3149,high,1.1252,
CRM,Salesforce Inc,Yes,3,202.11,Technology,Software - Application,185882970000,Large,10995838,14165373,56092,149903,163993,ultra_liquid,1.1634,
CROX,Crocs Inc,Yes,0,86,Consumer Cyclical,Apparel - Footwear & Accessories,4183956210,Mid,1034406,1435446,1904,7815,19902,high,0.0278,
CRWD,CrowdStrike Holdings Inc,No,0,428.99,Technology,Software - Infrastructure,107434271190,Large,4114363,4700677,41510,103772,100293,high,1.8529,Keep
CSCO,Cisco Systems Inc,Yes,8,78.64,Technology,Communication Equipment,316030942290,Mega,21603281,26039843,55302,235618,380356,ultra_liquid,1.6861,
CSGP,CoStar Group Inc,Yes,2,48.38,Real Estate,Real Estate Services,20532090351,Large,277759,7244730,2099,19024,20880,moderate,1.0808,
CSX,CSX Corp,Yes,0,39.95,Industrials,Railroads,76520762278,Large,4150705,13491911,5749,24285,107649,high,0.6853,
CTRA,Coterra Energy Inc,Yes,3,31.03,Energy,Oil & Gas E&P,23651345072,Large,121146,10545385,1471,4981,39169,moderate,-0.3719,
CTSH,Cognizant Technology Solutions Corp,No,0,66.26,Technology,Information Technology Services,31468647336,Large,3156440,7969268,2990,11777,27836,high,1.324,
CTVA,Corteva Inc,No,0,76.96,Basic Materials,Agricultural Inputs,51508613160,Large,3249415,4292986,734,3333,10217,high,0.4946,
CUBE,CubeSmart,No,0,40.21,Real Estate,REIT - Industrial,9237735564,Mid,1092694,2403286,144,1809,3787,high,0.2939,
CVS,CVS Health Corp,Yes,7,77.92,Healthcare,Healthcare Plans,100110288547,Large,6967644,10104363,14289,47267,145894,high,-0.0567,
CVX,Chevron Corp,Yes,0,189.94,Energy,Oil & Gas Integrated,376233210656,Mega,10914037,11499271,93548,1526475,228720,ultra_liquid,0.1152,
CZR,Caesars Entertainment Inc,Yes,5,26.4,Consumer Cyclical,"Gambling, Resorts & Casinos",5411623948,Mid,2863411,7334420,8867,30655,67458,high,1.1767,
D,Dominion Energy Inc,No,0,63.24,Utilities,Utilities - Regulated Electric,55363494753,Large,3120395,6047613,3669,23827,53410,high,-0.3334,Keep
DAL,Delta Air Lines Inc,Yes,24,59.01,Industrials,Airlines,40043443707,Large,6866363,9441807,26117,85582,205133,high,2.1134,
DAR,Darling Ingredients Inc,Yes,1,52.91,Consumer Defensive,Packaged Foods,8415499562,Mid,1742554,2585810,1970,8490,21650,high,0.6516,
DASH,DoorDash Inc,Yes,7,179.17,Consumer Cyclical,Internet Retail,79708547064,Large,0,5977973,13072,57967,53918,N/A,1.4822,
DBX,Dropbox Inc,No,0,26.79,Technology,Software - Infrastructure,6144473179,Mid,5309946,4855956,1356,12161,11274,high,0.3331,
DD,DuPont de Nemours Inc,Yes,2,45.26,Basic Materials,Specialty Chemicals,19104922599,Large,6367445,4715916,1442,5459,18105,high,1.3494,
DDOG,Datadog Inc,Yes,13,125.75,Technology,Software - Application,43141209270,Large,2678724,6801573,19727,61559,111468,high,2.2619,
DE,Deere & Co,Yes,0,589.77,Industrials,Farm & Heavy Construction Machinery,159549670404,Large,1708832,1845847,6325,32327,23543,high,0.3764,
DECK,Deckers Outdoor Corp,Yes,3,104.25,Consumer Cyclical,Apparel - Footwear & Accessories,15270977880,Large,465539,2882607,5037,40148,34632,moderate,0.7665,
DELL,Dell Technologies Inc,Yes,7,146.48,Technology,Computer Hardware,97097280923,Large,2670774,8937843,30009,180147,164677,high,2.5034,
DG,Dollar General Corp,No,0,146.31,Consumer Defensive,Discount Stores,32258420545,Large,1923499,2719056,3378,6721,41063,high,0.4441,Keep
DHI,D.R. Horton Inc,Yes,3,147.26,Consumer Cyclical,Residential Construction,43420744842,Large,3721244,2799825,5390,30009,41298,high,0.2043,
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,No,0,475.23,N/A,N/A,0,,6196703,7117863,49597,111354,176126,high,0.9433,Keep
DINO,HF Sinclair Corp,Yes,0,56.23,Energy,Oil & Gas Refining & Marketing,10306218100,Large,0,3301529,2423,12960,12895,N/A,0.4506,
DIS,The Walt Disney Co,No,0,101.54,Communication Services,Entertainment,181421347940,Large,10332998,13062534,37005,148525,223049,ultra_liquid,0.8651,Keep
DKNG,DraftKings Inc,Yes,10,25.15,Consumer Cyclical,"Gambling, Resorts & Casinos",12551560662,Large,0,17886905,36025,82842,138068,N/A,1.1995,
DLTR,Dollar Tree Inc,Yes,0,115.79,Consumer Defensive,Discount Stores,23049072905,Large,2984377,2961739,2059,10898,41710,high,0.7037,
DNN,Denison Mines Corp Ordinary Shares (Canada),No,0,3.67,Energy,Uranium,3485169953,Mid,0,47300327,6741,41609,83297,N/A,2.3173,Keep
DOC,Healthpeak Properties Inc,No,0,17.28,Real Estate,REIT - Healthcare Facilities,12100715987,Large,3964811,9795499,1643,11673,25349,high,0.3055,
DOCS,Doximity Inc,Yes,3,25.34,Healthcare,Medical - Healthcare Information,4815362534,Mid,3701765,4359691,2184,10275,8766,high,-0.1309,
DOCU,Docusign Inc,No,0,48.69,Technology,Software - Application,9659154250,Mid,4426095,5408699,5676,14697,28814,high,0.9874,
DOW,Dow Inc,Yes,0,33.28,Basic Materials,Chemicals,24195248907,Large,4125570,14278741,26869,258807,166896,high,1.3045,
DRI,Darden Restaurants Inc,Yes,0,203.18,Consumer Cyclical,Restaurants,23742864536,Large,1487449,1270260,472,1544,10425,high,0.1895,
DT,Dynatrace Inc,Yes,0,39.28,Technology,Software - Application,11694426179,Large,2224664,7601134,1499,10632,10897,high,1.1798,
DUK,Duke Energy Corp,Yes,0,132.5,Utilities,Utilities - Regulated Electric,102347993690,Large,3460032,4747871,4605,67617,41859,high,-0.4241,
DV,DoubleVerify Holdings Inc,No,0,11.01,Communication Services,Advertising Agencies,1768908643,Small,0,3028524,89,1740,561,N/A,0.8854,
DVN,Devon Energy Corp,Yes,7,44.48,Energy,Oil & Gas E&P,27614167526,Large,6271049,11973232,13919,39105,131746,high,-0.1301,
DXC,DXC Technology Co,Yes,0,12.95,Technology,Information Technology Services,2239133911,Mid,3677792,2866971,1000,20298,19496,high,1.5644,
DXCM,DexCom Inc,Yes,4,68.1,Healthcare,Medical Devices,27206095680,Large,5230444,4974014,1686,6833,28136,high,1.0082,
EBAY,eBay Inc,Yes,3,92.71,Consumer Cyclical,Internet Retail,41681920000,Large,10713289,5905410,12557,109079,60436,ultra_liquid,1.0332,
EFX,Equifax Inc,Yes,3,207.83,Industrials,Consulting Services,24881457186,Large,1768499,2025652,437,3691,2404,high,1.4344,
EIX,Edison International,Yes,0,71.76,Utilities,Utilities - Regulated Electric,27404809820,Large,1895214,3456254,1222,7962,14976,high,0.1029,
EL,The Estee Lauder Companies Inc,Yes,0,92.72,Consumer Defensive,Household & Personal Products,34678771612,Large,1758380,4557132,3732,20575,24606,high,1.7805,
ELAN,Elanco Animal Health Inc,No,0,23.36,Healthcare,Drug Manufacturers - Specialty,11892260401,Large,5052939,4376091,963,6153,17769,high,1.4514,
ELF,e.l.f. Beauty Inc,No,0,82.44,Consumer Defensive,Household & Personal Products,4874171807,Mid,836111,2323312,5556,16485,26799,moderate,1.7279,
ELV,Elevance Health Inc,Yes,0,289.64,Healthcare,Healthcare Plans,63227473002,Large,0,2230251,862,2815,13434,N/A,0.7018,
EMN,Eastman Chemical Co,Yes,0,70.33,Basic Materials,Specialty Chemicals,8231877524,Mid,1120668,1769128,1189,4096,21739,high,1.183,
EMR,Emerson Electric Co,Yes,0,138.36,Industrials,Specialty Industrial Machinery,79927640000,Large,3237639,3909204,2625,9327,23217,high,1.8772,
ENOV,Enovis Corp,No,0,24.51,Healthcare,Medical Devices,1392201585,Small,1084220,1174677,41,563,329,high,1.2584,
ENPH,Enphase Energy Inc,Yes,5,40.23,Technology,Solar,5394716401,Mid,6329055,7989573,20307,68974,92198,high,2.1096,
ENTG,Entegris Inc,Yes,2,112.44,Technology,Semiconductor Equipment & Materials,18923702000,Large,3029059,3150278,2911,16428,18038,high,2.8789,
EOG,EOG Resources Inc,Yes,1,131.41,Energy,Oil & Gas E&P,70296480327,Large,4797399,5780269,5050,11682,45450,high,-0.1264,
EQH,Equitable Holdings Inc,No,0,39.26,Financial Services,Asset Management,11152237114,Large,3234820,3329186,81,1048,566,high,1.9142,
EQR,Equity Residential,No,0,62.72,Real Estate,REIT - Residential,23826997985,Large,2601597,2888746,148,455,3501,high,0.3598,
EQT,EQT Corp,Yes,12,61.96,Energy,Oil & Gas E&P,38498977580,Large,9890190,9533744,17984,50033,203876,high,0.1386,
ES,Eversource Energy,No,0,74.44,Utilities,Utilities - Regulated Electric,27737934654,Large,1883912,2767001,497,2656,8111,high,-0.3511,
ET,Energy Transfer LP,No,0,18.74,Energy,Oil & Gas Midstream,64230673115,Large,18444582,15954608,45347,490837,263472,ultra_liquid,0.0566,Keep
ETN,Eaton Corp PLC,Yes,3,347.75,Industrials,Specialty Industrial Machinery,137800436000,Large,2593930,3034420,7715,66391,47014,high,1.6556,
ETSY,Etsy Inc,Yes,6,56.4,Consumer Cyclical,Internet Retail,5450477803,Mid,2606949,4404718,7446,28159,54926,high,1.3632,
EVRG,Evergy Inc,No,0,83.36,Utilities,Utilities - Regulated Electric,19092646295,Large,2590475,2295928,164,1373,3042,high,-0.3191,
EW,Edwards Lifesciences Corp,Yes,1,81.64,Healthcare,Medical Devices,48723312000,Large,1358013,4917268,1835,15171,25223,high,0.7837,
EXC,Exelon Corp,No,0,49.36,Utilities,Utilities - Regulated Electric,49886471370,Large,8019927,9699270,2471,19678,31994,high,-0.6149,
EXE,Expand Energy Corp,Yes,1,106.84,Energy,Oil & Gas E&P,25643282394,Large,3589097,3794466,3314,19241,79038,high,-0.3468,
EXEL,Exelixis Inc,Yes,2,41.55,Healthcare,Biotechnology,10723371768,Large,2780781,3047507,666,2913,6712,high,0.8692,
EXPE,Expedia Group Inc,No,0,249.62,Consumer Cyclical,Travel Services,30822421954,Large,2488737,3649972,6385,20946,26786,high,1.9252,Keep
F,Ford Motor Co,Yes,2,12.15,Consumer Cyclical,Auto - Manufacturers,49230124275,Large,69300878,73981490,96187,355723,633579,ultra_liquid,1.1995,
FAF,First American Financial Corp,No,0,67.6,Financial Services,Insurance - Specialty,7034157000,Mid,695325,1075051,33,648,1137,moderate,0.1635,
FANG,Diamondback Energy Inc,Yes,1,180.54,Energy,Oil & Gas E&P,50953872328,Large,2184454,2631210,2991,11660,31243,high,-0.0363,
FAST,Fastenal Co,No,0,46.46,Industrials,Industrial - Distribution,54308876633,Large,3780754,8466023,2836,17014,45480,high,0.7777,
FBIN,Fortune Brands Innovations Inc,Yes,0,45.68,Industrials,Building Products & Equipment,5784639655,Mid,0,3058991,205,2135,1987,N/A,0.818,
FCX,Freeport-McMoRan Inc,Yes,44,59.36,Basic Materials,Copper,90055052631,Large,19618861,21633404,48949,159257,357263,ultra_liquid,1.7356,
FDX,FedEx Corp,Yes,0,359.1,Industrials,Integrated Freight & Logistics,87783103353,Large,1862272,1951917,6622,22233,34542,high,0.7286,
FE,FirstEnergy Corp,Yes,1,50.84,Utilities,Utilities - Regulated Electric,29081582471,Large,3229588,4997025,1170,11589,28898,high,-0.1423,
FFIV,F5 Inc,Yes,1,286.22,Technology,Software - Infrastructure,16032256979,Large,724806,877068,510,4679,6295,moderate,1.8026,
FHN,First Horizon Corp,Yes,7,22.81,Financial Services,Banks - Regional,11316278065,Large,6440831,6497221,12576,307147,237665,high,1.0229,
FIS,Fidelity National Information Services Inc,Yes,0,51.49,Technology,Information Technology Services,26018538539,Large,4232921,5949881,2029,11206,11692,high,1.3386,
FISV,Fiserv Inc,Yes,2,63.1,Technology,Information Technology Services,34150891916,Large,9919949,8679718,11275,42909,102702,high,,
FITB,Fifth Third Bancorp,No,0,47.3,Financial Services,Banks - Regional,43909568181,Large,11327051,14583859,1353,9103,41595,ultra_liquid,1.0268,
FIVE,Five Below Inc,Yes,0,215.28,Consumer Cyclical,Specialty Retail,12225567890,Large,1470446,913005,368,1057,10027,high,1.2176,
FIVN,Five9 Inc,Yes,0,18.09,Technology,Software - Infrastructure,1394516246,Small,2318014,2993340,800,6869,23210,high,2.0045,
FLO,Flowers Foods Inc,No,0,9.1,Consumer Defensive,Packaged Foods,1952646392,Small,4594163,5414226,593,1986,7244,high,-0.2224,
FLR,Fluor Corp,Yes,4,45.08,Industrials,Engineering & Construction,6768356599,Mid,2887981,2958815,2803,9319,53298,high,2.3003,
FLS,Flowserve Corp,No,0,76.23,Industrials,Specialty Industrial Machinery,10355172970,Large,1376482,1629686,303,1954,2824,high,1.6843,
FMC,FMC Corp,No,0,14.04,Basic Materials,Agricultural Inputs,1785307660,Small,4392111,4514845,2418,18569,25173,high,2.2741,
FNB,F N B Corp,Yes,0,16.38,Financial Services,Banks - Regional,6039874387,Mid,6230769,7204870,14,163,659,high,1.0615,
FND,Floor & Decor Holdings Inc,Yes,0,60.11,Consumer Cyclical,Home Improvement,6758388171,Mid,970849,2431125,1395,13979,31617,moderate,1.6259,
FOUR,Shift4 Payments Inc,Yes,1,47.87,Technology,Software - Infrastructure,3372091996,Mid,2247696,2842575,1522,8594,22676,high,1.5533,
FOX,Fox Corporation - Class B Common Stock,No,0,54.31,Communication Services,Entertainment,23800291285,Large,1590968,1845697,10,80,222,high,0.7281,
